"relocating_to","nationality","visa_type","salary_range","family_relocating"
"DE-FRANKFURT","Privileged","none","52.001-59.400","Yes"
"DE-DORTMUND","Privileged","none","52.001-59.400","Yes"
"DE-HAMBURG","GB","none","52.001-59.400","Yes"
"DE-BERLIN","GB","none","52.001-59.400","Yes"
"DE-MUENCHEN","GB","none","52.001-59.400","Yes"
"DE-KOELN","GB","none","52.001-59.400","Yes"
"DE-BONN","GB","none","52.001-59.400","Yes"
"DE-STUTTGART","GB","none","52.001-59.400","Yes"
"DE-DUESSELDORF","GB","none","52.001-59.400","Yes"
"DE-FRANKFURT","GB","none","52.001-59.400","Yes"
"DE-DORTMUND","GB","none","52.001-59.400","Yes"
"DE-HAMBURG","Switzerland","none","52.001-59.400","Yes"
"DE-BERLIN","Switzerland","none","52.001-59.400","Yes"
"DE-MUENCHEN","Switzerland","none","52.001-59.400","Yes"
"DE-KOELN","Switzerland","none","52.001-59.400","Yes"
"DE-BONN","Switzerland","none","52.001-59.400","Yes"
"DE-STUTTGART","Switzerland","none","52.001-59.400","Yes"
"DE-DUESSELDORF","Switzerland","none","52.001-59.400","Yes"
"DE-FRANKFURT","Switzerland","none","52.001-59.400","Yes"
"DE-DORTMUND","Switzerland","none","52.001-59.400","Yes"
"DE-HAMBURG","Third-country","visa","59.401-70.000","Yes"
"DE-BERLIN","Third-country","visa","59.401-70.000","Yes"
"DE-MUENCHEN","Third-country","visa","59.401-70.000","Yes"
"DE-KOELN","Third-country","visa","59.401-70.000","Yes"
"DE-BONN","Third-country","visa","59.401-70.000","Yes"
"DE-STUTTGART","Third-country","visa","59.401-70.000","Yes"
"DE-DUESSELDORF","Third-country","visa","59.401-70.000","Yes"
"DE-FRANKFURT","Third-country","visa","59.401-70.000","Yes"
"DE-DORTMUND","Third-country","visa","59.401-70.000","Yes"
"DE-HAMBURG","EU","visa","59.401-70.000","Yes"
"DE-BERLIN","EU","visa","59.401-70.000","Yes"
"DE-MUENCHEN","EU","visa","59.401-70.000","Yes"
"DE-KOELN","EU","visa","59.401-70.000","Yes"
"DE-BONN","EU","visa","59.401-70.000","Yes"
"DE-STUTTGART","EU","visa","59.401-70.000","Yes"
"DE-DUESSELDORF","EU","visa","59.401-70.000","Yes"
"DE-FRANKFURT","EU","visa","59.401-70.000","Yes"
"DE-DORTMUND","EU","visa","59.401-70.000","Yes"
"DE-HAMBURG","Privileged","visa","59.401-70.000","Yes"
"DE-BERLIN","Privileged","visa","59.401-70.000","Yes"
"DE-MUENCHEN","Privileged","visa","59.401-70.000","Yes"
"DE-KOELN","Privileged","visa","59.401-70.000","Yes"
"DE-BONN","Privileged","visa","59.401-70.000","Yes"
"DE-STUTTGART","Privileged","visa","59.401-70.000","Yes"
"DE-DUESSELDORF","Privileged","visa","59.401-70.000","Yes"
"DE-FRANKFURT","Privileged","visa","59.401-70.000","Yes"
"DE-DORTMUND","Privileged","visa","59.401-70.000","Yes"
"DE-HAMBURG","GB","visa","59.401-70.000","Yes"
"DE-BERLIN","GB","visa","59.401-70.000","Yes"
"DE-MUENCHEN","GB","visa","59.401-70.000","Yes"
"DE-KOELN","GB","visa","59.401-70.000","Yes"
"DE-BONN","GB","visa","59.401-70.000","Yes"
"DE-STUTTGART","GB","visa","59.401-70.000","Yes"
"DE-DUESSELDORF","GB","visa","59.401-70.000","Yes"
"DE-FRANKFURT","GB","visa","59.401-70.000","Yes"
"DE-DORTMUND","GB","visa","59.401-70.000","Yes"
"DE-HAMBURG","Switzerland","visa","59.401-70.000","Yes"
"DE-BERLIN","Switzerland","visa","59.401-70.000","Yes"
"DE-MUENCHEN","Switzerland","visa","59.401-70.000","Yes"
"DE-KOELN","Switzerland","visa","59.401-70.000","Yes"
"DE-BONN","Switzerland","visa","59.401-70.000","Yes"
"DE-STUTTGART","Switzerland","visa","59.401-70.000","Yes"
"DE-DUESSELDORF","Switzerland","visa","59.401-70.000","Yes"
"DE-FRANKFURT","Switzerland","visa","59.401-70.000","Yes"
"DE-DORTMUND","Switzerland","visa","59.401-70.000","Yes"
"DE-HAMBURG","Third-country","job seeker","59.401-70.000","Yes"
"DE-BERLIN","Third-country","job seeker","59.401-70.000","Yes"
"DE-MUENCHEN","Third-country","job seeker","59.401-70.000","Yes"
"DE-KOELN","Third-country","job seeker","59.401-70.000","Yes"
"DE-BONN","Third-country","job seeker","59.401-70.000","Yes"
"DE-STUTTGART","Third-country","job seeker","59.401-70.000","Yes"
"DE-DUESSELDORF","Third-country","job seeker","59.401-70.000","Yes"
"DE-FRANKFURT","Third-country","job seeker","59.401-70.000","Yes"
"DE-DORTMUND","Third-country","job seeker","59.401-70.000","Yes"
"DE-HAMBURG","EU","job seeker","59.401-70.000","Yes"
"DE-BERLIN","EU","job seeker","59.401-70.000","Yes"
"DE-MUENCHEN","EU","job seeker","59.401-70.000","Yes"
"DE-KOELN","EU","job seeker","59.401-70.000","Yes"
"DE-BONN","EU","job seeker","59.401-70.000","Yes"
"DE-STUTTGART","EU","job seeker","59.401-70.000","Yes"
"DE-DUESSELDORF","EU","job seeker","59.401-70.000","Yes"
"DE-FRANKFURT","EU","job seeker","59.401-70.000","Yes"
"DE-DORTMUND","EU","job seeker","59.401-70.000","Yes"
"DE-HAMBURG","Privileged","job seeker","59.401-70.000","Yes"
"DE-BERLIN","Privileged","job seeker","59.401-70.000","Yes"
"DE-MUENCHEN","Privileged","job seeker","59.401-70.000","Yes"
"DE-KOELN","Privileged","job seeker","59.401-70.000","Yes"
"DE-BONN","Privileged","job seeker","59.401-70.000","Yes"
"DE-STUTTGART","Privileged","job seeker","59.401-70.000","Yes"
"DE-DUESSELDORF","Privileged","job seeker","59.401-70.000","Yes"
"DE-FRANKFURT","Privileged","job seeker","59.401-70.000","Yes"
"DE-DORTMUND","Privileged","job seeker","59.401-70.000","Yes"
"DE-HAMBURG","GB","job seeker","59.401-70.000","Yes"
"DE-BERLIN","GB","job seeker","59.401-70.000","Yes"
"DE-MUENCHEN","GB","job seeker","59.401-70.000","Yes"
"DE-KOELN","GB","job seeker","59.401-70.000","Yes"
"DE-BONN","GB","job seeker","59.401-70.000","Yes"
"DE-STUTTGART","GB","job seeker","59.401-70.000","Yes"
"DE-DUESSELDORF","GB","job seeker","59.401-70.000","Yes"
"DE-FRANKFURT","GB","job seeker","59.401-70.000","Yes"
"DE-DORTMUND","GB","job seeker","59.401-70.000","Yes"
"DE-HAMBURG","Switzerland","job seeker","59.401-70.000","Yes"
"DE-BERLIN","Switzerland","job seeker","59.401-70.000","Yes"
"DE-MUENCHEN","Switzerland","job seeker","59.401-70.000","Yes"
"DE-KOELN","Switzerland","job seeker","59.401-70.000","Yes"
"DE-BONN","Switzerland","job seeker","59.401-70.000","Yes"
"DE-STUTTGART","Switzerland","job seeker","59.401-70.000","Yes"
"DE-DUESSELDORF","Switzerland","job seeker","59.401-70.000","Yes"
"DE-FRANKFURT","Switzerland","job seeker","59.401-70.000","Yes"
"DE-DORTMUND","Switzerland","job seeker","59.401-70.000","Yes"
"DE-HAMBURG","Third-country","valid rp","59.401-70.000","Yes"
"DE-BERLIN","Third-country","valid rp","59.401-70.000","Yes"
"DE-MUENCHEN","Third-country","valid rp","59.401-70.000","Yes"
"DE-KOELN","Third-country","valid rp","59.401-70.000","Yes"
"DE-BONN","Third-country","valid rp","59.401-70.000","Yes"
"DE-STUTTGART","Third-country","valid rp","59.401-70.000","Yes"
"DE-DUESSELDORF","Third-country","valid rp","59.401-70.000","Yes"
"DE-FRANKFURT","Third-country","valid rp","59.401-70.000","Yes"
"DE-DORTMUND","Third-country","valid rp","59.401-70.000","Yes"
"DE-HAMBURG","EU","valid rp","59.401-70.000","Yes"
"DE-BERLIN","EU","valid rp","59.401-70.000","Yes"
"DE-MUENCHEN","EU","valid rp","59.401-70.000","Yes"
"DE-KOELN","EU","valid rp","59.401-70.000","Yes"
"DE-BONN","EU","valid rp","59.401-70.000","Yes"
"DE-STUTTGART","EU","valid rp","59.401-70.000","Yes"
"DE-DUESSELDORF","EU","valid rp","59.401-70.000","Yes"
"DE-FRANKFURT","EU","valid rp","59.401-70.000","Yes"
"DE-DORTMUND","EU","valid rp","59.401-70.000","Yes"
"DE-HAMBURG","Privileged","valid rp","59.401-70.000","Yes"
"DE-BERLIN","Privileged","valid rp","59.401-70.000","Yes"
"DE-MUENCHEN","Privileged","valid rp","59.401-70.000","Yes"
"DE-KOELN","Privileged","valid rp","59.401-70.000","Yes"
"DE-BONN","Privileged","valid rp","59.401-70.000","Yes"
"DE-STUTTGART","Privileged","valid rp","59.401-70.000","Yes"
"DE-DUESSELDORF","Privileged","valid rp","59.401-70.000","Yes"
"DE-FRANKFURT","Privileged","valid rp","59.401-70.000","Yes"
"DE-DORTMUND","Privileged","valid rp","59.401-70.000","Yes"
"DE-HAMBURG","GB","valid rp","59.401-70.000","Yes"
"DE-BERLIN","GB","valid rp","59.401-70.000","Yes"
"DE-MUENCHEN","GB","valid rp","59.401-70.000","Yes"
"DE-KOELN","GB","valid rp","59.401-70.000","Yes"
"DE-BONN","GB","valid rp","59.401-70.000","Yes"
"DE-STUTTGART","GB","valid rp","59.401-70.000","Yes"
"DE-DUESSELDORF","GB","valid rp","59.401-70.000","Yes"
"DE-FRANKFURT","GB","valid rp","59.401-70.000","Yes"
"DE-DORTMUND","GB","valid rp","59.401-70.000","Yes"
"DE-HAMBURG","Switzerland","valid rp","59.401-70.000","Yes"
"DE-BERLIN","Switzerland","valid rp","59.401-70.000","Yes"
"DE-MUENCHEN","Switzerland","valid rp","59.401-70.000","Yes"
"DE-KOELN","Switzerland","valid rp","59.401-70.000","Yes"
"DE-BONN","Switzerland","valid rp","59.401-70.000","Yes"
"DE-STUTTGART","Switzerland","valid rp","59.401-70.000","Yes"
"DE-DUESSELDORF","Switzerland","valid rp","59.401-70.000","Yes"
"DE-FRANKFURT","Switzerland","valid rp","59.401-70.000","Yes"
"DE-DORTMUND","Switzerland","valid rp","59.401-70.000","Yes"
"DE-HAMBURG","Third-country","blue card","59.401-70.000","Yes"
"DE-BERLIN","Third-country","blue card","59.401-70.000","Yes"
"DE-MUENCHEN","Third-country","blue card","59.401-70.000","Yes"
"DE-KOELN","Third-country","blue card","59.401-70.000","Yes"
"DE-BONN","Third-country","blue card","59.401-70.000","Yes"
"DE-STUTTGART","Third-country","blue card","59.401-70.000","Yes"
"DE-DUESSELDORF","Third-country","blue card","59.401-70.000","Yes"
"DE-FRANKFURT","Third-country","blue card","59.401-70.000","Yes"
"DE-DORTMUND","Third-country","blue card","59.401-70.000","Yes"
"DE-HAMBURG","EU","blue card","59.401-70.000","Yes"
"DE-BERLIN","EU","blue card","59.401-70.000","Yes"
"DE-MUENCHEN","EU","blue card","59.401-70.000","Yes"
"DE-KOELN","EU","blue card","59.401-70.000","Yes"
"DE-BONN","EU","blue card","59.401-70.000","Yes"
"DE-STUTTGART","EU","blue card","59.401-70.000","Yes"
"DE-DUESSELDORF","EU","blue card","59.401-70.000","Yes"
"DE-FRANKFURT","EU","blue card","59.401-70.000","Yes"
"DE-DORTMUND","EU","blue card","59.401-70.000","Yes"
"DE-HAMBURG","Privileged","blue card","59.401-70.000","Yes"
"DE-BERLIN","Privileged","blue card","59.401-70.000","Yes"
"DE-MUENCHEN","Privileged","blue card","59.401-70.000","Yes"
"DE-KOELN","Privileged","blue card","59.401-70.000","Yes"
"DE-BONN","Privileged","blue card","59.401-70.000","Yes"
"DE-STUTTGART","Privileged","blue card","59.401-70.000","Yes"
"DE-DUESSELDORF","Privileged","blue card","59.401-70.000","Yes"
"DE-FRANKFURT","Privileged","blue card","59.401-70.000","Yes"
"DE-DORTMUND","Privileged","blue card","59.401-70.000","Yes"
"DE-HAMBURG","GB","blue card","59.401-70.000","Yes"
"DE-BERLIN","GB","blue card","59.401-70.000","Yes"
"DE-MUENCHEN","GB","blue card","59.401-70.000","Yes"
"DE-KOELN","GB","blue card","59.401-70.000","Yes"
"DE-BONN","GB","blue card","59.401-70.000","Yes"
"DE-STUTTGART","GB","blue card","59.401-70.000","Yes"
"DE-DUESSELDORF","GB","blue card","59.401-70.000","Yes"
"DE-FRANKFURT","GB","blue card","59.401-70.000","Yes"
"DE-DORTMUND","GB","blue card","59.401-70.000","Yes"
"DE-HAMBURG","Switzerland","blue card","59.401-70.000","Yes"
"DE-BERLIN","Switzerland","blue card","59.401-70.000","Yes"
"DE-MUENCHEN","Switzerland","blue card","59.401-70.000","Yes"
"DE-KOELN","Switzerland","blue card","59.401-70.000","Yes"
"DE-BONN","Switzerland","blue card","59.401-70.000","Yes"
"DE-STUTTGART","Switzerland","blue card","59.401-70.000","Yes"
"DE-DUESSELDORF","Switzerland","blue card","59.401-70.000","Yes"
"DE-FRANKFURT","Switzerland","blue card","59.401-70.000","Yes"
"DE-DORTMUND","Switzerland","blue card","59.401-70.000","Yes"
"DE-HAMBURG","Third-country","none","59.401-70.000","Yes"
"DE-BERLIN","Third-country","none","59.401-70.000","Yes"
"DE-MUENCHEN","Third-country","none","59.401-70.000","Yes"
"DE-KOELN","Third-country","none","59.401-70.000","Yes"
"DE-BONN","Third-country","none","59.401-70.000","Yes"
"DE-STUTTGART","Third-country","none","59.401-70.000","Yes"
"DE-DUESSELDORF","Third-country","none","59.401-70.000","Yes"
"DE-FRANKFURT","Third-country","none","59.401-70.000","Yes"
"DE-DORTMUND","Third-country","none","59.401-70.000","Yes"
"DE-HAMBURG","EU","none","59.401-70.000","Yes"
"DE-BERLIN","EU","none","59.401-70.000","Yes"
"DE-MUENCHEN","EU","none","59.401-70.000","Yes"
"DE-KOELN","EU","none","59.401-70.000","Yes"
"DE-BONN","EU","none","59.401-70.000","Yes"
"DE-STUTTGART","EU","none","59.401-70.000","Yes"
"DE-DUESSELDORF","EU","none","59.401-70.000","Yes"
"DE-FRANKFURT","EU","none","59.401-70.000","Yes"
"DE-DORTMUND","EU","none","59.401-70.000","Yes"
"DE-HAMBURG","Privileged","none","59.401-70.000","Yes"
"DE-BERLIN","Privileged","none","59.401-70.000","Yes"
"DE-MUENCHEN","Privileged","none","59.401-70.000","Yes"
"DE-KOELN","Privileged","none","59.401-70.000","Yes"
"DE-BONN","Privileged","none","59.401-70.000","Yes"
"DE-STUTTGART","Privileged","none","59.401-70.000","Yes"
"DE-DUESSELDORF","Privileged","none","59.401-70.000","Yes"
"DE-FRANKFURT","Privileged","none","59.401-70.000","Yes"
"DE-DORTMUND","Privileged","none","59.401-70.000","Yes"
"DE-HAMBURG","GB","none","59.401-70.000","Yes"
"DE-BERLIN","GB","none","59.401-70.000","Yes"
"DE-MUENCHEN","GB","none","59.401-70.000","Yes"
"DE-KOELN","GB","none","59.401-70.000","Yes"
"DE-BONN","GB","none","59.401-70.000","Yes"
"DE-STUTTGART","GB","none","59.401-70.000","Yes"
"DE-DUESSELDORF","GB","none","59.401-70.000","Yes"
"DE-FRANKFURT","GB","none","59.401-70.000","Yes"
"DE-DORTMUND","GB","none","59.401-70.000","Yes"
"DE-HAMBURG","Switzerland","none","59.401-70.000","Yes"
"DE-BERLIN","Switzerland","none","59.401-70.000","Yes"
"DE-MUENCHEN","Switzerland","none","59.401-70.000","Yes"
"DE-KOELN","Switzerland","none","59.401-70.000","Yes"
"DE-BONN","Switzerland","none","59.401-70.000","Yes"
"DE-STUTTGART","Switzerland","none","59.401-70.000","Yes"
"DE-DUESSELDORF","Switzerland","none","59.401-70.000","Yes"
"DE-FRANKFURT","Switzerland","none","59.401-70.000","Yes"
"DE-DORTMUND","Switzerland","none","59.401-70.000","Yes"
"DE-HAMBURG","Third-country","visa","70.001-80.000","Yes"
"DE-BERLIN","Third-country","visa","70.001-80.000","Yes"
"DE-MUENCHEN","Third-country","visa","70.001-80.000","Yes"
"DE-KOELN","Third-country","visa","70.001-80.000","Yes"
"DE-BONN","Third-country","visa","70.001-80.000","Yes"
"DE-STUTTGART","Third-country","visa","70.001-80.000","Yes"
"DE-DUESSELDORF","Third-country","visa","70.001-80.000","Yes"
"DE-FRANKFURT","Third-country","visa","70.001-80.000","Yes"
"DE-DORTMUND","Third-country","visa","70.001-80.000","Yes"
"DE-HAMBURG","EU","visa","70.001-80.000","Yes"
"DE-BERLIN","EU","visa","70.001-80.000","Yes"
"DE-MUENCHEN","EU","visa","70.001-80.000","Yes"
"DE-KOELN","EU","visa","70.001-80.000","Yes"
"DE-BONN","EU","visa","70.001-80.000","Yes"
"DE-STUTTGART","EU","visa","70.001-80.000","Yes"
"DE-DUESSELDORF","EU","visa","70.001-80.000","Yes"
"DE-FRANKFURT","EU","visa","70.001-80.000","Yes"
"DE-DORTMUND","EU","visa","70.001-80.000","Yes"
"DE-HAMBURG","Privileged","visa","70.001-80.000","Yes"
"DE-BERLIN","Privileged","visa","70.001-80.000","Yes"
"DE-MUENCHEN","Privileged","visa","70.001-80.000","Yes"
"DE-KOELN","Privileged","visa","70.001-80.000","Yes"
"DE-BONN","Privileged","visa","70.001-80.000","Yes"
"DE-STUTTGART","Privileged","visa","70.001-80.000","Yes"
"DE-DUESSELDORF","Privileged","visa","70.001-80.000","Yes"
"DE-FRANKFURT","Privileged","visa","70.001-80.000","Yes"
"DE-DORTMUND","Privileged","visa","70.001-80.000","Yes"
"DE-HAMBURG","GB","visa","70.001-80.000","Yes"
"DE-BERLIN","GB","visa","70.001-80.000","Yes"
"DE-MUENCHEN","GB","visa","70.001-80.000","Yes"
"DE-KOELN","GB","visa","70.001-80.000","Yes"
"DE-BONN","GB","visa","70.001-80.000","Yes"
"DE-STUTTGART","GB","visa","70.001-80.000","Yes"
"DE-DUESSELDORF","GB","visa","70.001-80.000","Yes"
"DE-FRANKFURT","GB","visa","70.001-80.000","Yes"
"DE-DORTMUND","GB","visa","70.001-80.000","Yes"
"DE-HAMBURG","Switzerland","visa","70.001-80.000","Yes"
"DE-BERLIN","Switzerland","visa","70.001-80.000","Yes"
"DE-MUENCHEN","Switzerland","visa","70.001-80.000","Yes"
"DE-KOELN","Switzerland","visa","70.001-80.000","Yes"
"DE-BONN","Switzerland","visa","70.001-80.000","Yes"
"DE-STUTTGART","Switzerland","visa","70.001-80.000","Yes"
"DE-DUESSELDORF","Switzerland","visa","70.001-80.000","Yes"
"DE-FRANKFURT","Switzerland","visa","70.001-80.000","Yes"
"DE-DORTMUND","Switzerland","visa","70.001-80.000","Yes"
"DE-HAMBURG","Third-country","job seeker","70.001-80.000","Yes"
"DE-BERLIN","Third-country","job seeker","70.001-80.000","Yes"
"DE-MUENCHEN","Third-country","job seeker","70.001-80.000","Yes"
"DE-KOELN","Third-country","job seeker","70.001-80.000","Yes"
"DE-BONN","Third-country","job seeker","70.001-80.000","Yes"
"DE-STUTTGART","Third-country","job seeker","70.001-80.000","Yes"
"DE-DUESSELDORF","Third-country","job seeker","70.001-80.000","Yes"
"DE-FRANKFURT","Third-country","job seeker","70.001-80.000","Yes"
"DE-DORTMUND","Third-country","job seeker","70.001-80.000","Yes"
"DE-HAMBURG","EU","job seeker","70.001-80.000","Yes"
"DE-BERLIN","EU","job seeker","70.001-80.000","Yes"
"DE-MUENCHEN","EU","job seeker","70.001-80.000","Yes"
"DE-KOELN","EU","job seeker","70.001-80.000","Yes"
"DE-BONN","EU","job seeker","70.001-80.000","Yes"
"DE-STUTTGART","EU","job seeker","70.001-80.000","Yes"
"DE-DUESSELDORF","EU","job seeker","70.001-80.000","Yes"
"DE-FRANKFURT","EU","job seeker","70.001-80.000","Yes"
"DE-DORTMUND","EU","job seeker","70.001-80.000","Yes"
"DE-HAMBURG","Privileged","job seeker","70.001-80.000","Yes"
"DE-BERLIN","Privileged","job seeker","70.001-80.000","Yes"
"DE-MUENCHEN","Privileged","job seeker","70.001-80.000","Yes"
"DE-KOELN","Privileged","job seeker","70.001-80.000","Yes"
"DE-BONN","Privileged","job seeker","70.001-80.000","Yes"
"DE-STUTTGART","Privileged","job seeker","70.001-80.000","Yes"
"DE-DUESSELDORF","Privileged","job seeker","70.001-80.000","Yes"
"DE-FRANKFURT","Privileged","job seeker","70.001-80.000","Yes"
"DE-DORTMUND","Privileged","job seeker","70.001-80.000","Yes"
"DE-HAMBURG","GB","job seeker","70.001-80.000","Yes"
"DE-BERLIN","GB","job seeker","70.001-80.000","Yes"
"DE-MUENCHEN","GB","job seeker","70.001-80.000","Yes"
"DE-KOELN","GB","job seeker","70.001-80.000","Yes"
"DE-BONN","GB","job seeker","70.001-80.000","Yes"
"DE-STUTTGART","GB","job seeker","70.001-80.000","Yes"
"DE-DUESSELDORF","GB","job seeker","70.001-80.000","Yes"
"DE-FRANKFURT","GB","job seeker","70.001-80.000","Yes"
"DE-DORTMUND","GB","job seeker","70.001-80.000","Yes"
"DE-HAMBURG","Switzerland","job seeker","70.001-80.000","Yes"
"DE-BERLIN","Switzerland","job seeker","70.001-80.000","Yes"
"DE-MUENCHEN","Switzerland","job seeker","70.001-80.000","Yes"
"DE-KOELN","Switzerland","job seeker","70.001-80.000","Yes"
"DE-BONN","Switzerland","job seeker","70.001-80.000","Yes"
"DE-STUTTGART","Switzerland","job seeker","70.001-80.000","Yes"
"DE-DUESSELDORF","Switzerland","job seeker","70.001-80.000","Yes"
"DE-FRANKFURT","Switzerland","job seeker","70.001-80.000","Yes"
"DE-DORTMUND","Switzerland","job seeker","70.001-80.000","Yes"
"DE-HAMBURG","Third-country","valid rp","70.001-80.000","Yes"
"DE-BERLIN","Third-country","valid rp","70.001-80.000","Yes"
"DE-MUENCHEN","Third-country","valid rp","70.001-80.000","Yes"
"DE-KOELN","Third-country","valid rp","70.001-80.000","Yes"
"DE-BONN","Third-country","valid rp","70.001-80.000","Yes"
"DE-STUTTGART","Third-country","valid rp","70.001-80.000","Yes"
"DE-DUESSELDORF","Third-country","valid rp","70.001-80.000","Yes"
"DE-FRANKFURT","Third-country","valid rp","70.001-80.000","Yes"
"DE-DORTMUND","Third-country","valid rp","70.001-80.000","Yes"
"DE-HAMBURG","EU","valid rp","70.001-80.000","Yes"
"DE-BERLIN","EU","valid rp","70.001-80.000","Yes"
"DE-MUENCHEN","EU","valid rp","70.001-80.000","Yes"
"DE-KOELN","EU","valid rp","70.001-80.000","Yes"
"DE-BONN","EU","valid rp","70.001-80.000","Yes"
"DE-STUTTGART","EU","valid rp","70.001-80.000","Yes"
"DE-DUESSELDORF","EU","valid rp","70.001-80.000","Yes"
"DE-FRANKFURT","EU","valid rp","70.001-80.000","Yes"
"DE-DORTMUND","EU","valid rp","70.001-80.000","Yes"
"DE-HAMBURG","Privileged","valid rp","70.001-80.000","Yes"
"DE-BERLIN","Privileged","valid rp","70.001-80.000","Yes"
"DE-MUENCHEN","Privileged","valid rp","70.001-80.000","Yes"
"DE-KOELN","Privileged","valid rp","70.001-80.000","Yes"
"DE-BONN","Privileged","valid rp","70.001-80.000","Yes"
"DE-STUTTGART","Privileged","valid rp","70.001-80.000","Yes"
"DE-DUESSELDORF","Privileged","valid rp","70.001-80.000","Yes"
"DE-FRANKFURT","Privileged","valid rp","70.001-80.000","Yes"
"DE-DORTMUND","Privileged","valid rp","70.001-80.000","Yes"
"DE-HAMBURG","GB","valid rp","70.001-80.000","Yes"
"DE-BERLIN","GB","valid rp","70.001-80.000","Yes"
"DE-MUENCHEN","GB","valid rp","70.001-80.000","Yes"
"DE-KOELN","GB","valid rp","70.001-80.000","Yes"
"DE-BONN","GB","valid rp","70.001-80.000","Yes"
"DE-STUTTGART","GB","valid rp","70.001-80.000","Yes"
"DE-DUESSELDORF","GB","valid rp","70.001-80.000","Yes"
"DE-FRANKFURT","GB","valid rp","70.001-80.000","Yes"
"DE-DORTMUND","GB","valid rp","70.001-80.000","Yes"
"DE-HAMBURG","Switzerland","valid rp","70.001-80.000","Yes"
"DE-BERLIN","Switzerland","valid rp","70.001-80.000","Yes"
"DE-MUENCHEN","Switzerland","valid rp","70.001-80.000","Yes"
"DE-KOELN","Switzerland","valid rp","70.001-80.000","Yes"
"DE-BONN","Switzerland","valid rp","70.001-80.000","Yes"
"DE-STUTTGART","Switzerland","valid rp","70.001-80.000","Yes"
"DE-DUESSELDORF","Switzerland","valid rp","70.001-80.000","Yes"
"DE-FRANKFURT","Switzerland","valid rp","70.001-80.000","Yes"
"DE-DORTMUND","Switzerland","valid rp","70.001-80.000","Yes"
"DE-HAMBURG","Third-country","blue card","70.001-80.000","Yes"
"DE-BERLIN","Third-country","blue card","70.001-80.000","Yes"
"DE-MUENCHEN","Third-country","blue card","70.001-80.000","Yes"
"DE-KOELN","Third-country","blue card","70.001-80.000","Yes"
"DE-BONN","Third-country","blue card","70.001-80.000","Yes"
"DE-STUTTGART","Third-country","blue card","70.001-80.000","Yes"
"DE-DUESSELDORF","Third-country","blue card","70.001-80.000","Yes"
"DE-FRANKFURT","Third-country","blue card","70.001-80.000","Yes"
"DE-DORTMUND","Third-country","blue card","70.001-80.000","Yes"
"DE-HAMBURG","EU","blue card","70.001-80.000","Yes"
"DE-BERLIN","EU","blue card","70.001-80.000","Yes"
"DE-MUENCHEN","EU","blue card","70.001-80.000","Yes"
"DE-KOELN","EU","blue card","70.001-80.000","Yes"
"DE-BONN","EU","blue card","70.001-80.000","Yes"
"DE-STUTTGART","EU","blue card","70.001-80.000","Yes"
"DE-DUESSELDORF","EU","blue card","70.001-80.000","Yes"
"DE-FRANKFURT","EU","blue card","70.001-80.000","Yes"
"DE-DORTMUND","EU","blue card","70.001-80.000","Yes"
"DE-HAMBURG","Privileged","blue card","70.001-80.000","Yes"
"DE-BERLIN","Privileged","blue card","70.001-80.000","Yes"
"DE-MUENCHEN","Privileged","blue card","70.001-80.000","Yes"
"DE-KOELN","Privileged","blue card","70.001-80.000","Yes"
"DE-BONN","Privileged","blue card","70.001-80.000","Yes"
"DE-STUTTGART","Privileged","blue card","70.001-80.000","Yes"
"DE-DUESSELDORF","Privileged","blue card","70.001-80.000","Yes"
"DE-FRANKFURT","Privileged","blue card","70.001-80.000","Yes"
"DE-DORTMUND","Privileged","blue card","70.001-80.000","Yes"
"DE-HAMBURG","GB","blue card","70.001-80.000","Yes"
"DE-BERLIN","GB","blue card","70.001-80.000","Yes"
"DE-MUENCHEN","GB","blue card","70.001-80.000","Yes"
"DE-KOELN","GB","blue card","70.001-80.000","Yes"
"DE-BONN","GB","blue card","70.001-80.000","Yes"
"DE-STUTTGART","GB","blue card","70.001-80.000","Yes"
"DE-DUESSELDORF","GB","blue card","70.001-80.000","Yes"
"DE-FRANKFURT","GB","blue card","70.001-80.000","Yes"
"DE-DORTMUND","GB","blue card","70.001-80.000","Yes"
"DE-HAMBURG","Switzerland","blue card","70.001-80.000","Yes"
"DE-BERLIN","Switzerland","blue card","70.001-80.000","Yes"
"DE-MUENCHEN","Switzerland","blue card","70.001-80.000","Yes"
"DE-KOELN","Switzerland","blue card","70.001-80.000","Yes"
"DE-BONN","Switzerland","blue card","70.001-80.000","Yes"
"DE-STUTTGART","Switzerland","blue card","70.001-80.000","Yes"
"DE-DUESSELDORF","Switzerland","blue card","70.001-80.000","Yes"
"DE-FRANKFURT","Switzerland","blue card","70.001-80.000","Yes"
"DE-DORTMUND","Switzerland","blue card","70.001-80.000","Yes"
"DE-HAMBURG","Third-country","none","70.001-80.000","Yes"
"DE-BERLIN","Third-country","none","70.001-80.000","Yes"
"DE-MUENCHEN","Third-country","none","70.001-80.000","Yes"
"DE-KOELN","Third-country","none","70.001-80.000","Yes"
"DE-BONN","Third-country","none","70.001-80.000","Yes"
"DE-STUTTGART","Third-country","none","70.001-80.000","Yes"
"DE-DUESSELDORF","Third-country","none","70.001-80.000","Yes"
"DE-FRANKFURT","Third-country","none","70.001-80.000","Yes"
"DE-DORTMUND","Third-country","none","70.001-80.000","Yes"
"DE-HAMBURG","EU","none","70.001-80.000","Yes"
